A_x,B_x,C,D_x,E,F,G,A_y,B_y,D_y
"96, ""000408"," ""森林生態学の基礎 """," ""豊田　鮎[Toyota Ayu]"""," ""2Q"""," ""金1"""," ""1～""", ,,,
"97, ""000409"," ""作物の生産と環境 """," ""豊田　正範[Toyota Masanori]"""," ""3Q"""," ""金2"""," ""1～""", ,,,
"98, ""000410"," ""植物バイオテクノロジーの展開 """," ""鳴海　貴子[Narumi Takako]"""," ""2Q"""," ""火1"""," ""1～""", ,,,
"99, ""000411"," ""がんの科学、細胞が現代社会に訴えること """," ""水津　太[Suizu Futoshi]"""," ""4Q"""," ""木5"""," ""1～""", ,,,
"100, ""000412"," ""脳とストレス """," ""三木　崇範", 鈴木　辰吾, 太田　健一[Miki Takanori, Suzuki Shingo," Ohta Kenichi]""",,,
"101, ""000413"," ""細胞膜の生理学 """," ""藤原　祐一郎[Fujiwara Yuichiro]"""," ""4Q"""," ""金2"""," ""1～""", ,,,
"102, ""000414"," ""「ありふれた」病気の脳科学 - その成り立ちと治療への挑戦 """," ""山本　融[Tohru Yamamoto]"""," ""3Q"""," ""木5"""," ""1～""", ,,,
"103, ""000415"," ""医学にかかわる化学 """," ""和田　健司", 中北　愼一, 栗原　亮介[Wada Kenji, Nakakita Shinichi," Kurihara Ryohsuke]""",,,
"104, ""000416"," ""若年層の疾病と健康管理A """," ""横平　政直[Yokohira Masanao]"""," ""1Q"""," ""木5"""," ""1～""", ,,,
"105, ""000417"," ""若年層の疾病と健康管理B """," ""横平　政直[Yokohira Masanao]"""," ""2Q"""," ""木5"""," ""1～""", ,,,
"106, ""000418"," ""情報生物学と疾患遺伝の基礎 """," ""吉田　裕美", 岩間　久和[Yoshida Hiromi," Iwama Hisakazu]"""," ""3Q"""," ""月5""",,,
"107, ""000419"," ""心と体の健康 """," ""塩田　敦子", 谷本　公重[Shiota Atsuko," Tanimoto Kimie]"""," ""4Q"""," ""火2""",,,
"108, ""000420"," ""瀬戸内海の環境と諸課題 """," ""多田　邦尚", 一見　和彦, 石塚　正秀[Tada Kuninao, Ichimi Kazuhiko," Ishizuka Masahide]""",,,
"109, ""000421"," ""瀬戸内海の環境と保全 """," ""多田　邦尚", 山口  一岩, 末永　慶寛, 田中　健二[Tada Kuninao, Yamaguchi Hitomi,,,
"110, ""000422"," ""国際協力論A """," ""尾上　能久"""," ""3Q"""," ""木5"""," ""1～""", ,,,
"111, ""000423"," ""国際協力論B """," ""尾上　能久"""," ""4Q"""," ""木5"""," ""1～""", ,,,
"112, ""000424"," ""知プラe科目　太陽光利用型植物工場における知能的農作物生産 """," ""藤内　直道[Naomichi FUJIUCHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"113, ""000425"," ""知プラe科目　タンパク質で生命を斬る """," ""澤崎　達也[Tatsuya SAWASAKI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"114, ""000426"," ""知プラe科目　気象学入門 """," ""佐々　浩司[Koji SASSA]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"115, ""000427"," ""知プラe科目　昆虫と環境 """," ""小西　和彦[Kazuhiko KONISHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"116, ""000428"," ""知プラe科目　人工魚礁の開発と環境保全 """," ""末永　慶寛[Suenaga Yoshihiro]"""," ""2Q"""," ""集中"""," ""1～""", ,,,
"117, ""000429"," ""知プラe科目　知の探訪 """," ""金西　計英[Kazuhide KANENISHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"118, ""000430"," ""環境問題を科学の視点で考える """," ""山田　佳裕[Yamada Yoshihiro]"""," ""1Q"""," ""火2"""," ""1～""", ,,,
"119, ""000700"," ""地域と香川大学 ｲ"""," ""岡田　徹太郎", 林　敏浩[Okada Tetsutaro," Hayashi Toshihiro]"""," ""2Q"""," ""集中""",,,
"120, ""000701"," ""地域と香川大学 ﾛ"""," ""岡田　徹太郎", 林　敏浩[Okada Tetsutaro," Hayashi Toshihiro]"""," ""4Q"""," ""集中""",,,
"121, ""000702"," ""防災リテラシー養成講座(災害を知る)A """," ""磯打　千雅子", 野々村　敦子, 山中　稔, 寺尾　徹, 井面　仁志[Chikako ISOUCHI,,,
"122, ""000703"," ""防災リテラシー養成講座(災害を知る)B """," ""磯打　千雅子", 野々村　敦子, 山中　稔, 寺尾　徹, 井面　仁志[Chikako ISOUCHI,,,
"123, ""000704"," ""知プラe科目　四国の歴史と文化　その１　歴史編 """," ""守田　逸人", 林　敏浩, 藤本　憲市[MORITA Hayato, Hayashi Toshihiro," Kenichi FUJIMOTO]""",,,
"124, ""000705"," ""知プラe科目　四国の歴史と文化　その２　文化編 """," ""渡邊　史郎", 林　敏浩, 藤本　憲市[WATANABE Shiro, Hayashi Toshihiro," Kenichi FUJIMOTO]""",,,
"125, ""000706"," ""知プラe科目　四国の地域振興　その１ """," ""林　敏浩", 藤本　憲市[Hayashi Toshihiro," Kenichi FUJIMOTO]"""," ""3Q"""," ""集中""",,,
"126, ""000707"," ""知プラe科目　四国の地域振興　その２ """," ""林　敏浩", 藤本　憲市[Hayashi Toshihiro," Kenichi FUJIMOTO]"""," ""4Q"""," ""集中""",,,
"127, ""000708"," ""知プラe科目　四国の自然環境と防災　その１ """," ""寺尾　徹", 林　敏浩, 藤本　憲市[TERAO Toru, Hayashi Toshihiro," Kenichi FUJIMOTO]""",,,
"128, ""000709"," ""知プラe科目　四国の自然環境と防災　その２ """," ""寺尾　徹", 林　敏浩, 藤本　憲市[TERAO Toru, Hayashi Toshihiro," Kenichi FUJIMOTO]""",,,
"129, ""000710"," ""知プラe科目　香川の文化と歴史 """," ""藤本　憲市", 山田　香織[Kenichi FUJIMOTO," Kaori YAMADA]"""," ""2Q"""," ""集中""",,,
"130, ""000711"," ""知プラe科目　香川を学ぶ　その１ """," ""藤本　憲市", 林　敏浩[Kenichi FUJIMOTO," Hayashi Toshihiro]"""," ""3Q"""," ""集中""",,,
"131, ""000712"," ""知プラe科目　香川を学ぶ　その２ """," ""藤本　憲市", 林　敏浩[Kenichi FUJIMOTO," Hayashi Toshihiro]"""," ""4Q"""," ""集中""",,,
"132, ""000713"," ""知プラe科目　阿波学 """," ""藤原　伸彦", 宮下　晃一, 竹口　幸志[Nobuhiko FUJIHARA, Koichi MIYASHITA," Koji TAKEGUCHI]""",,,
"133, ""000801"," ""防災コンピテンシ－養成講座(災害に備える) """," ""磯打　千雅子", 野々村　敦子, 井面　仁志, 中島  美登子, 黒田　泰弘[Chikako ISOUCHI,,,
"134, ""000802"," ""地域活動 """," ""平　篤志", 青山  夕夏[TAIRA Atsushi," AOYAMA Yuka]"""," ""前期"""," ""火2""",,,
"135, ""000803"," ""キャリアデザインと地域貢献A """," ""原　瑞穂"""," ""前期"""," ""集中"""," ""1～""", ,,,
"136, ""000804"," ""キャリアデザインと地域貢献B """," ""原　瑞穂"""," ""後期"""," ""月5"""," ""1～""", ,,,
"137, ""000805"," ""地域インターンシップ ｲ"""," ""神田　亮", 長尾　敦史, 神田　亮[Ryo KANDA," KANDA Ryo]"""," ""前期""",,,
"138, ""000806"," ""地域インターンシップ ﾛ"""," ""神田　亮"," 長尾　敦史[KANDA Ryo]"""," ""後期"""," ""木1"""," ""1～""",,,
"139, ""000807"," ""地域インターンシップ ﾊ"""," ""神田　亮", 長尾　敦史, 神田　亮[Ryo KANDA," KANDA Ryo]"""," ""前期""",,,
"140, ""000808"," ""地域をデザインする """," ""神田　亮", 長尾　敦史, 神田　亮[Ryo KANDA," KANDA Ryo]"""," ""前期""",,,
"141, ""000809"," ""コミュニティデザイン入門 """," ""長尾　敦史"""," ""前期"""," ""木5"""," ""1～""", ,,,
"142, ""000810"," ""コミュニティデザイン実習 """," ""長尾　敦史"""," ""後期"""," ""木5"""," ""1～""", ,,,
"143, ""000811"," ""瀬戸内国際芸術祭とマイノリティ問題 """," ""小坂　有資"""," ""前期"""," ""金2"""," ""1～""", ,,,
"144, ""000812"," ""瀬戸内地域活性化プロジェクト イ"""," ""原　直行", 長尾　敦史, 神田　亮, 大村　隆史, 神田　亮[Hara Naoyuki,,,
"145, ""000813"," ""瀬戸内地域活性化プロジェクト ロ"""," ""原　直行", 長尾　敦史, 神田　亮, 大村　隆史[Hara Naoyuki," KANDA Ryo]""",,,
"146, ""000814"," ""地域での防犯を考える """," ""大久保　智生", 西本　佳代[OKUBO Tomoo," NISHIMOTO KAYO]"""," ""前期"""," ""火2""",,,
