A_x,B_x,C,D_x,E,F,G,A_y,B_y,D_y
"500, ""045601"," ""中国語速修Ⅰ """," ""胡　継民[Hu Ji-Min]"""," ""2Q"""," ""水3","金4"""," ""1～""",,,
"501, ""045602"," ""中国語速修Ⅱ """," ""胡　継民[Hu Ji-Min]"""," ""後期"""," ""水2","金4"""," ""1～""",,,
"502, ""045603"," ""中国語速修Ⅲ """," ""胡　継民[Hu Ji-Min]"""," ""後期"""," ""月4"""," ""1～""", ,,,
"503, ""045604"," ""中国語上級「聴解」 """," ""胡　継民[Hu Ji-Min]"""," ""前期"""," ""金5"""," ""2～""", ,,,
"504, ""045606"," ""中国語上級「読解」 """," ""髙橋　明郎[Takahashi Akio]"""," ""前期"""," ""月2"""," ""3～""", ,,,
"505, ""045607"," ""中国語応用演習Ⅰ """," ""緒方　宏海[Ogata Hiromi ]"""," ""後期"""," ""木3"""," ""1～""", ,,,
"506, ""045608"," ""中国語応用演習Ⅱ """," ""緒方　宏海[Ogata Hiromi ]"""," ""前期"""," ""火5"""," ""2～""", ,,,
"507, ""045609"," ""中国語応用演習Ⅲ """," ""緒方　宏海[Ogata Hiromi ]"""," ""後期"""," ""火4"""," ""2～""", ,,,
"508, ""045610"," ""中国語上級「写作」 """," ""胡　継民[Hu Ji-Min]"""," ""後期"""," ""金5"""," ""2～""", ,,,
"509, ""046101"," ""韓国語Ⅰ (1)"""," ""宮島  美花", 平  水晶[Miyajima Mika," Sujun TAIRA]"""," ""前期"""," ""月3",,,
"510, ""046102"," ""韓国語Ⅰ (2)"""," ""宮島  美花", 谷﨑　美津子[Miyajima Mika," Mitsuko TANISAKI]"""," ""前期"""," ""月3",,,
"511, ""046103"," ""韓国語Ⅰ (3)"""," ""宮島  美花"," 崔　栄殊[Miyajima Mika]"""," ""前期"""," ""月3","木2""",,,
"512, ""046104"," ""韓国語Ⅰ (4)"""," ""宮島  美花"," 崔　栄殊[Miyajima Mika]"""," ""前期"""," ""月4","木3""",,,
"513, ""046105"," ""韓国語Ⅰ (5)"""," ""宮島  美花[Miyajima Mika]"""," ""前期"""," ""月4","木3"""," ""1～""",,,
"514, ""046106"," ""韓国語Ⅰ (6)"""," ""宮島  美花[Miyajima Mika]"""," ""前期"""," ""水2","金4"""," ""1～""",,,
"515, ""046201"," ""韓国語Ⅱ (1)"""," ""宮島  美花", 谷﨑　美津子[Miyajima Mika," Mitsuko TANISAKI]"""," ""後期"""," ""月3",,,
"516, ""046202"," ""韓国語Ⅱ (2)"""," ""宮島  美花", 平  水晶[Miyajima Mika," Sujun TAIRA]"""," ""後期"""," ""月3",,,
"517, ""046203"," ""韓国語Ⅱ (3)"""," ""宮島  美花[Miyajima Mika]"""," ""後期"""," ""月3","木2"""," ""1～""",,,
"518, ""046204"," ""韓国語Ⅱ (4)"""," ""宮島  美花", 谷﨑　美津子[Miyajima Mika," Mitsuko TANISAKI]"""," ""後期"""," ""月4",,,
"519, ""046205"," ""韓国語Ⅱ (5)"""," ""宮島  美花", 平  水晶[Miyajima Mika," Sujun TAIRA]"""," ""後期"""," ""月4",,,
"520, ""046206"," ""韓国語Ⅱ (6)"""," ""宮島  美花"," 崔　栄殊[Miyajima Mika]"""," ""後期"""," ""水2","金4""",,,
"521, ""046301"," ""韓国語Ⅲ (1)"""," ""宮島  美花", 谷﨑　美津子[Miyajima Mika," Mitsuko TANISAKI]"""," ""前期"""," ""月2""",,,
"522, ""046302"," ""韓国語Ⅲ (2)"""," ""宮島  美花", 谷﨑　美津子[Miyajima Mika," Mitsuko TANISAKI]"""," ""前期"""," ""木3""",,,
"523, ""046401"," ""韓国語会話Ⅲ (1)"""," ""宮島  美花", 平  水晶[Miyajima Mika," Sujun TAIRA]"""," ""前期"""," ""月2""",,,
"524, ""046402"," ""韓国語会話Ⅲ (2)"""," ""宮島  美花", 平  水晶[Miyajima Mika," Sujun TAIRA]"""," ""前期"""," ""木3""",,,
"525, ""050101"," ""医療と法 """," ""平野　美紀[Hirano Miki]"""," ""後期"""," ""金2"""," ""1～""", ,,,
"526, ""050102"," ""海外体験型異文化コミュニケーションⅡ """," ""ロン　リム", 高水　徹[Lrong Lim," Takamizu Toru]"""," ""4Q"""," ""金2""",,,
"527, ""050103"," ""サーバント・リーダー養成入門Ⅱ """," ""早川　茂", 松村　幸江, 早川　茂[Hayakawa Shigeru," Yukie MATSUMURA]"""," ""前期""",,,
"528, ""050104"," ""ヒューマニティーズプログラム課題研究 ｲ"""," ""佐藤  慶太[Sato Keita]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"529, ""050105"," ""ヒューマニティーズプログラム課題研究 ﾛ"""," ""佐藤  慶太[Sato Keita]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"530, ""050106"," ""DRIイノベーター養成プログラム課題研究 """," ""小坂　有資", 石塚　昭彦, 髙橋　亨輔, 藤澤　修平[Akihiko ISHIZUKA, Takahashi Kyosuke,,,
"531, ""050107"," ""知プラe科目　インドネシアの文化と会話 """," ""島上　宗子[Motoko SHIMAGAMI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"532, ""050108"," ""知プラe科目　海洋地球科学概論 """," ""村山　雅史[Masafumi MURAYAMA]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"533, ""050109"," ""Plastics"," the environment and human society """," ""ロン　リム", 高水　徹[Lrong Lim," Takamizu Toru]"""," ""後期""",,,
"534, ""050201"," ""知プラe科目　大学の知の活用 """," ""井内　健介[Kensuke INAI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"535, ""050202"," ""知プラe科目　行動統計学入門 """," ""金西　計英[Kazuhide KANENISHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"536, ""050203"," ""知プラe科目　自動車概論 """," ""宮下　晃一[Koichi MIYASHITA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"537, ""050204"," ""知プラe科目　大学生のための『安全・安心』の基礎講座 """," ""伊藤　和貴[Kazutaka ITO]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"538, ""050205"," ""知プラe科目　徳島で暮らす・徳島で働くを考える """," ""金西　計英[Kazuhide KANENISHI]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"539, ""050206"," ""知プラe科目　数理科学の世界 """," ""金西　計英[Kazuhide KANENISHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"540, ""050207"," ""知プラe科目　子どもと学校 """," ""竹口　幸志[Koji TAKEGUCHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"541, ""050208"," ""知プラe科目　情報社会のくらし """," ""竹口　幸志[Koji TAKEGUCHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"542, ""050209"," ""知プラe科目　デジタルものづくり入門 """," ""宮下　晃一[Koichi MIYASHITA]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"543, ""050210"," ""知プラe科目　アカデミック・プレゼンテーション（PowerPoint編） """," ""仲道　雅輝[Masaki NAKAMICHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"544, ""050211"," ""知プラe科目　私たちの生活と材料 """," ""小林　千悟[Sengo KOBAYASHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"545, ""050212"," ""知プラe科目　和算の世界 """," ""河村　泰之[Yasuyuki KAWAMURA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"546, ""050213"," ""知プラe科目　研究倫理 """," ""裏　和宏[Kazuhiro URA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"547, ""050214"," ""知プラe科目　インタフェースデザイン概論 """," ""三好　康夫[Yasuo MIYOSHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"548, ""050215"," ""知プラe科目　アクティブラーニング入門 """," ""髙畑　貴志[Takashi TAKABATAKE]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"549, ""050216"," ""知プラe科目　キャリアで活かすITリテラシー """," ""髙畑　貴志[Takashi TAKABATAKE]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"550, ""050217"," ""知プラe科目　業務効率化のためのIT活用入門 """," ""髙畑　貴志[Takashi TAKABATAKE]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"551, ""050218"," ""知プラe科目　NPOと大学の経営 """," ""岩崎　保道[Yasumichi IWASAKI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"552, ""050219"," ""知プラe科目　ピア・サポート理論と実践 """," ""杉田　郁代[Ikuyo SUGITA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"553, ""050220"," ""知プラe科目　キャリアプランニング """," ""森田　佐知子[Sachiko MORITA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"554, ""050221"," ""知プラe科目　徳島を考える """," ""豊田　哲也[Tetsuya TOYODA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"555, ""050222"," ""知プラe科目　インターンシップ入門 """," ""森田　佐知子[Sachiko MORITA]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"556, ""050223"," ""知プラe科目　消費生活入門 """," ""小島　郷子[Kyoko KOJIMA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"557, ""050224"," ""知プラe科目　社会科学における確率・統計入門 """," ""福井　昌則[Masanori FUKUI]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"558, ""050408"," ""Study Abroad """," ""滝川　祐子[TAKIGAWA Yuko]"""," ""後期"""," ""火4"""," ""1～""", ,,,
"559, ""050501"," ""ギリシア語初歩Ⅰ """," ""佐藤  慶太[Sato Keita]"""," ""前期"""," ""金3"""," ""1～""", ,,,
"560, ""050502"," ""ギリシア語初歩Ⅱ """," ""佐藤  慶太[Sato Keita]"""," ""後期"""," ""金3"""," ""1～""", ,,,
"561, ""061101"," ""健康・スポーツコミュニケーションⅠ M"""," ""宮本　賢作", 阿部  純也[MIYAMOTO Kensaku," Junya ABE]"""," ""前期"""," ""木4""",,,
"562, ""061104"," ""健康・スポーツコミュニケーションⅡ M"""," ""宮本　賢作", 阿部  純也[MIYAMOTO Kensaku," Junya ABE]"""," ""後期"""," ""木4""",,,
"563, ""061107"," ""健康コミュニケーション """," ""野﨑　武司[NOZAKI Takeshi]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"564, ""061201"," ""ボールゲームⅠ L"""," ""米村　耕平", 上野　耕平[YONEMURA Kohei," UENO Kohei]"""," ""前期"""," ""月4""",,,
"565, ""061203"," ""バドミントンＡ """," ""石川　雄一", 片山  昭彦[ISHIKAWA Yuichi," Akihiko KATAYAMA]"""," ""前期"""," ""火3""",,,
"566, ""061204"," ""バレーボールＡ """," ""石川　雄一", 石田　佳二[ISHIKAWA Yuichi," Keiji ISHIDA]"""," ""前期"""," ""火3""",,,
"567, ""061206"," ""バドミントンＢ """," ""石川　雄一", 片山  昭彦[ISHIKAWA Yuichi," Akihiko KATAYAMA]"""," ""前期"""," ""火4""",,,
"568, ""061207"," ""バレーボールＢ """," ""石川　雄一", 石田　佳二[ISHIKAWA Yuichi," Keiji ISHIDA]"""," ""前期"""," ""火4""",,,
"569, ""061209"," ""バレーボールＣ """," ""石川　雄一", 大西　努[ISHIKAWA Yuichi," Tsutomu ONISHI]"""," ""前期"""," ""木3""",,,
"570, ""061210"," ""バドミントンＣ """," ""石川　雄一", 阿部  純也[ISHIKAWA Yuichi," Junya ABE]"""," ""前期"""," ""木3""",,,
"571, ""061211"," ""バレーボールＤ """," ""上野　耕平[UENO Kohei]"""," ""前期"""," ""金3"""," ""1～""", ,,,
"572, ""061212"," ""バドミントンＤ """," ""石川　雄一[ISHIKAWA Yuichi]"""," ""前期"""," ""金3"""," ""1～""", ,,,
"573, ""061213"," ""バドミントンＥ """," ""石川　雄一[ISHIKAWA Yuichi]"""," ""前期"""," ""金4"""," ""1～""", ,,,
"574, ""061215"," ""ボールゲームⅡ L"""," ""米村　耕平", 上野　耕平[YONEMURA Kohei," UENO Kohei]"""," ""後期"""," ""月4""",,,
"575, ""061217"," ""卓球Ａ """," ""石川　雄一", 片山  昭彦[ISHIKAWA Yuichi," Akihiko KATAYAMA]"""," ""後期"""," ""火3""",,,
"576, ""061218"," ""バスケットボールＡ """," ""石川　雄一", 石田　佳二[ISHIKAWA Yuichi," Keiji ISHIDA]"""," ""後期"""," ""火3""",,,
"577, ""061219"," ""卓球Ｂ """," ""石川　雄一", 片山  昭彦[ISHIKAWA Yuichi," Akihiko KATAYAMA]"""," ""後期"""," ""火4""",,,
"578, ""061220"," ""バスケットボールＢ """," ""石川　雄一", 石田　佳二[ISHIKAWA Yuichi," Keiji ISHIDA]"""," ""後期"""," ""火4""",,,
"579, ""061221"," ""バスケットボールＣ """," ""石川　雄一", 大西　努[ISHIKAWA Yuichi," Tsutomu ONISHI]"""," ""後期"""," ""木3""",,,
"580, ""061222"," ""バドミントンＦ """," ""石川　雄一", 阿部  純也[ISHIKAWA Yuichi," Junya ABE]"""," ""後期"""," ""木3""",,,
"581, ""061223"," ""バスケットボールＤ """," ""米村　耕平[YONEMURA Kohei]"""," ""後期"""," ""金3"""," ""1～""", ,,,
"582, ""061224"," ""バドミントンＧ """," ""石川　雄一[ISHIKAWA Yuichi]"""," ""後期"""," ""金3"""," ""1～""", ,,,
"583, ""061225"," ""フィットネストレーニング """," ""石川　雄一[ISHIKAWA Yuichi]"""," ""後期"""," ""金4"""," ""1～""", ,,,
"584, ""061226"," ""硬式テニス """," ""石川　雄一", 杉山　貴義[ISHIKAWA Yuichi," Takayoshi Sugiyama]"""," ""前期"""," ""集中""",,,
"585, ""061227"," ""バレーボールE """," ""石川　雄一", 大西　努[ISHIKAWA Yuichi," Tsutomu ONISHI]"""," ""前期"""," ""集中""",,,
"586, ""061228"," ""スポーツレクリエーション """," ""石川　雄一", 石田　佳二[ISHIKAWA Yuichi," Keiji ISHIDA]"""," ""前期"""," ""集中""",,,
"587, ""061229"," ""ニュースポーツＡ """," ""石川　雄一", 田中  美季[ISHIKAWA Yuichi," Miki TANAKA]"""," ""前期"""," ""集中""",,,
"588, ""061230"," ""キャンプ """," ""石川　雄一[ISHIKAWA Yuichi]"""," ""前期"""," ""集中"""," ""1～""", ,,,
"589, ""061231"," ""フットサル """," ""石川　雄一", 澤　宜英[ISHIKAWA Yuichi," Yoshihide SAWA]"""," ""前期"""," ""集中""",,,
"590, ""061232"," ""スノースポーツ （イ）"""," ""石川　雄一[ISHIKAWA Yuichi]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"591, ""061233"," ""スノースポーツ （ロ）"""," ""宮本　賢作[MIYAMOTO Kensaku]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"592, ""061235"," ""ニュースポーツＢ """," ""野﨑　武司[NOZAKI Takeshi]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"593, ""071101"," ""日本語Ⅰa """," ""山下　直子[YAMASHITA Naoko]"""," ""前期"""," ""月3"""," ""1～""", ,,,
"594, ""071102"," ""日本語Ⅰb """," ""塩井　実香[Shioi Mika]"""," ""前期"""," ""木2"""," ""1～""", ,,,
"595, ""071103"," ""日本語Ⅰc """," ""高水　徹[Takamizu Toru]"""," ""後期"""," ""火2"""," ""1～""", ,,,
"596, ""071201"," ""日本語Ⅱa """," ""塩井　実香", 佐藤  美穂[Shioi Mika," Miho SATOH]"""," ""後期"""," ""水2""",,,
"597, ""071202"," ""日本語Ⅱb """," ""塩井　実香", 佐藤  美穂[Shioi Mika," Miho SATOH]"""," ""後期"""," ""水3""",,,
"598, ""071203"," ""日本語Ⅱc """," ""塩井　実香[Shioi Mika]"""," ""後期"""," ""木2"""," ""1～""", ,,,
"599, ""071301"," ""日本語Ⅲa """," ""轟木  靖子[TODOROKI Yasuko]"""," ""前期"""," ""月3"""," ""1～""", ,,,
"600, ""071302"," ""日本語Ⅲb """," ""塩井　実香", 佐藤  美穂[Shioi Mika," Miho SATOH]"""," ""前期"""," ""木3""",,,
"601, ""071401"," ""日本語Ⅳa """," ""轟木  靖子[TODOROKI Yasuko]"""," ""後期"""," ""月3"""," ""1～""", ,,,
"602, ""071402"," ""日本語Ⅳb """," ""塩井　実香", 黒川　祐三子[Shioi Mika," Yumiko KUROKAWA]"""," ""後期"""," ""金3""",,,
"603, ""071501"," ""日本語Ⅴa """," ""塩井　実香", 黒川　祐三子[Shioi Mika," Yumiko KUROKAWA]"""," ""前期"""," ""金2""",,,
"604, ""071502"," ""日本語Ⅴb """," ""塩井　実香", 佐藤  美穂[Shioi Mika," Miho SATOH]"""," ""前期"""," ""木2""",,,
"605, ""071601"," ""日本語Ⅵa """," ""塩井　実香", 黒川　祐三子[Shioi Mika," Yumiko KUROKAWA]"""," ""後期"""," ""金2""",,,
"606, ""071602"," ""日本語Ⅵb """," ""山下　直子[YAMASHITA Naoko]"""," ""後期"""," ""木2"""," ""1～""", ,,,
"607, ""072101"," ""日本事情Ⅰa """," ""塩井　実香", 黒川　祐三子[Shioi Mika," Yumiko KUROKAWA]"""," ""前期"""," ""金3""",,,
"608, ""072102"," ""日本事情Ⅰb """," ""塩井　実香", 黒川　祐三子[Shioi Mika," Yumiko KUROKAWA]"""," ""前期"""," ""火3""",,,
"609, ""072201"," ""日本事情Ⅱa """," ""ロン　リム[Lrong Lim]"""," ""後期"""," ""木3"""," ""1～""", ,,,
"610, ""073101"," ""初級日本語Ⅰa ｲ"""," ""塩井　実香[Shioi Mika]"""," ""1Q"""," ""月2～3"""," ""1～""", ,,,
"611, ""073102"," ""初級日本語Ⅰb ｲ"""," ""高水　徹[Takamizu Toru]"""," ""1Q"""," ""水2","木2"""," ""1～""",,,
"612, ""073103"," ""初級日本語Ⅰc ｲ"""," ""塩井　実香[Shioi Mika]"""," ""1Q"""," ""火2～3"""," ""1～""", ,,,
"613, ""073201"," ""初級日本語Ⅱa ｲ"""," ""塩井　実香[Shioi Mika]"""," ""2Q"""," ""月2～3"""," ""1～""", ,,,
"614, ""073202"," ""初級日本語Ⅱb ｲ"""," ""高水　徹[Takamizu Toru]"""," ""2Q"""," ""水2","木2"""," ""1～""",,,
"615, ""073203"," ""初級日本語Ⅱc ｲ"""," ""塩井　実香[Shioi Mika]"""," ""2Q"""," ""火2～3"""," ""1～""", ,,,
"616, ""073301"," ""初級日本語Ⅰa ロ"""," ""塩井　実香[Shioi Mika]"""," ""3Q"""," ""月2～3"""," ""1～""", ,,,
"617, ""073302"," ""初級日本語Ⅰb ロ"""," ""高水　徹[Takamizu Toru]"""," ""3Q"""," ""木2～3"""," ""1～""", ,,,
"618, ""073303"," ""初級日本語Ⅰc ロ"""," ""高水　徹[Takamizu Toru]"""," ""3Q"""," ""金2～3"""," ""1～""", ,,,
"619, ""073401"," ""初級日本語Ⅱa ロ"""," ""塩井　実香[Shioi Mika]"""," ""4Q"""," ""月2～3"""," ""1～""", ,,,
"620, ""073402"," ""初級日本語Ⅱb ロ"""," ""高水　徹[Takamizu Toru]"""," ""4Q"""," ""木2～3"""," ""1～""", ,,,
"621, ""073403"," ""初級日本語Ⅱc ロ"""," ""高水　徹[Takamizu Toru]"""," ""4Q"""," ""金2～3"""," ""1～""", ,,,
"622, ""074102"," ""初級日本事情b ｲ"""," ""尾上　能久"""," ""前期"""," ""月4"""," ""1～""", ,,,
"623, ""074201"," ""初級日本事情a ロ"""," ""滝川　祐子[TAKIGAWA Yuko]"""," ""後期"""," ""木4"""," ""1～""", ,,,
"624, ""074202"," ""初級日本事情b ロ"""," ""尾上　能久"""," ""後期"""," ""月4"""," ""1～""", ,,,
"625, ""081101"," ""大学入門ゼミ L(1)"""," ""谷口　弓恵", 小西　憲一, 松下　幸司[TANIGUCHI Yumie, KONISHI Kenichi," Matsushita Koji]""",,,
"626, ""081102"," ""大学入門ゼミ L(2)"""," ""古橋　紀宏", 小西　憲一, 松下　幸司[FURUHASHI Norihiro, KONISHI Kenichi," Matsushita Koji]""",,,
"627, ""081103"," ""大学入門ゼミ L(3)"""," ""一色　玲子", 四ッ谷　直仁, 松下　幸司[ISSHIKI Reiko, YOTSUTANI Naoto," Matsushita Koji]""",,,
"628, ""081104"," ""大学入門ゼミ L(4)"""," ""松島　充", 四ッ谷　直仁, 松下　幸司[MATSUSHIMA Mitsuru, YOTSUTANI Naoto," Matsushita Koji]""",,,
"629, ""081105"," ""大学入門ゼミ L(5)"""," ""小方　朋子", 植田　和也, 松下　幸司[OGATA Tomoko, UEDA Kazuya," Matsushita Koji]""",,,
"630, ""081106"," ""大学入門ゼミ L(6)"""," ""清水　顕人", 植田　和也, 松下　幸司[SHIMIZU Akihito, UEDA Kazuya," Matsushita Koji]""",,,
"631, ""081201"," ""大学入門ゼミ J(1)"""," ""天田　悠[Yu AMADA]"""," ""前期"""," ""火4"""," ""1～""", ,,,
"632, ""081202"," ""大学入門ゼミ J(2)"""," ""春日川　路子[Michiko KASUGAKAWA]"""," ""前期"""," ""火4"""," ""1～""", ,,,
"633, ""081203"," ""大学入門ゼミ J(3)"""," ""岸野　薫[Kishino Kaori]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"634, ""081204"," ""大学入門ゼミ J(4)"""," ""平野　美紀[Hirano Miki]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"635, ""081205"," ""大学入門ゼミ J(5)"""," ""藤井　篤[Fujii Atsushi]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"636, ""081206"," ""大学入門ゼミ J(6)"""," ""細谷　越史[Hosotani Etsushi]"""," ""前期"""," ""火4"""," ""1～""", ,,,
"637, ""081207"," ""大学入門ゼミ J(7)"""," ""前原　信夫[Maehara Nobuo]"""," ""前期"""," ""火4"""," ""1～""", ,,,
"638, ""081208"," ""大学入門ゼミ J(8)"""," ""鶴園　裕基[TSURUZONO Yuki]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"639, ""081301"," ""大学入門ゼミ E(1)"""," ""天谷　研一[Amaya Kenichi]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"640, ""081302"," ""大学入門ゼミ E(2)"""," ""井上　善弘[Inoue Yoshihiro]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"641, ""081303"," ""大学入門ゼミ E(3)"""," ""沖　公祐[Oki Kosuke]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"642, ""081304"," ""大学入門ゼミ E(4)"""," ""朴　鏡杓[Park Kyung Pyo]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"643, ""081305"," ""大学入門ゼミ E(5)"""," ""早木　祥夏[HAYAKI Shoka]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"644, ""081306"," ""大学入門ゼミ E(6)"""," ""水野　敦洋[MIZUNO Atsuhiro]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"645, ""081307"," ""大学入門ゼミ E(7)"""," ""宮脇　秀貴[Miyawaki Hidetaka]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"646, ""081308"," ""大学入門ゼミ E(8)"""," ""森貞　誠[Makoto MORISADA]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"647, ""081309"," ""大学入門ゼミ E(9)"""," ""安井　敏晃[Yasui Toshiaki]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"648, ""081310"," ""大学入門ゼミ E(10)"""," ""山口　尚美[Yamaguchi Naomi]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"649, ""081311"," ""大学入門ゼミ E(11)"""," ""山崎　隆之[Yamasaki takayuki]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"650, ""081312"," ""大学入門ゼミ E(12)"""," ""山ノ内　健太[Kenta YAMANOUCHI]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"651, ""081313"," ""大学入門ゼミ E(13)"""," ""横山　佳充[Yokoyama Yoshimitsu]"""," ""前期"""," ""火3"""," ""1～""", ,,,
"652, ""081401"," ""大学入門ゼミ M(1)"""," ""栗原　亮介[Kurihara Ryohsuke]"""," ""前期"""," ""水1"""," ""1～""", ,,,
"653, ""081402"," ""大学入門ゼミ M(2)"""," ""北田　研人"," RAHMAN MD ASADUR"""," ""前期"""," ""水1"""," ""1～""",,,
"654, ""081403"," ""大学入門ゼミ M(3)"""," ""伊藤　日加瑠[ITO Hikaru]"""," ""前期"""," ""水1"""," ""1～""", ,,,
"655, ""081404"," ""大学入門ゼミ M(4)"""," ""髙橋　弘雄[Takahashi Hiroo]"""," ""前期"""," ""水1"""," ""1～""", ,,,
"656, ""081405"," ""大学入門ゼミ M(5)"""," ""藤井　豊", 石上　悦子, 辻　京子[Fujii Yutaka, Ishigami Etsuko," Tsuji Kyoko]""",,,
"657, ""081406"," ""大学入門ゼミ M(6)"""," ""市原　多香子", 渡邉　久美, 松本　啓子[Ichihara Takako, Watanabe Kumi," Matsumoto Keiko]""",,,
"658, ""081407"," ""大学入門ゼミ M(7)"""," ""野口　修司", 岡崎　聡, 岡崎　聡[Shuji NOGUCHI, Okazaki Satoshi," OKAZAKI Satoshi]""",,,
"659, ""081501"," ""大学入門ゼミ T(1)"""," ""北村　尊義", 吉村　英徳[KITAMURA Takayoshi," Yoshimura Hidenori]"""," ""前期"""," ""水3""",,,
"660, ""081502"," ""大学入門ゼミ T(2)"""," ""吉村　英徳", 北村　尊義[Yoshimura Hidenori," KITAMURA Takayoshi]"""," ""前期"""," ""水3""",,,
"661, ""081503"," ""大学入門ゼミ T(3)"""," ""山中　稔", 中島  美登子, 角道　弘文[Yamanaka Minoru, Nakashima Mitoko," Kakudo Hirofumi]""",,,
"662, ""081504"," ""大学入門ゼミ T(4)"""," ""中島  美登子", 角道　弘文, 山中　稔[Nakashima Mitoko, Kakudo Hirofumi," Yamanaka Minoru]""",,,
"663, ""081505"," ""大学入門ゼミ T(5)"""," ""角道　弘文", 中島  美登子, 山中　稔[Kakudo Hirofumi, Nakashima Mitoko," Yamanaka Minoru]""",,,
"664, ""081506"," ""大学入門ゼミ T(6)"""," ""地元　孝輔[CHIMOTO Kosuke]"""," ""前期"""," ""水2"""," ""1～""", ,,,
"665, ""081507"," ""大学入門ゼミ T(7)"""," ""香川　考司", 亀井　仁志[Kagawa Koji," KAMEI Hitoshi]"""," ""前期"""," ""水2""",,,
"666, ""081508"," ""大学入門ゼミ T(8)"""," ""亀井　仁志", 香川　考司[KAMEI Hitoshi," Kagawa Koji]"""," ""前期"""," ""水2""",,,
"667, ""081509"," ""大学入門ゼミ T(9)"""," ""丹治　裕一", 北島　博之[Tanji Yuichi," Kitajima Hiroyuki]"""," ""前期"""," ""水2""",,,
"668, ""081510"," ""大学入門ゼミ T(10)"""," ""北島　博之", 丹治　裕一[Kitajima Hiroyuki," Tanji Yuichi]"""," ""前期"""," ""水2""",,,
"669, ""081511"," ""大学入門ゼミ T(11)"""," ""高尾　英邦", 佐々木　大輔, 井上　恒[Takao Hidekuni, Daisuke SASAKI," Inoue Koh]""",,,
"670, ""081512"," ""大学入門ゼミ T(12)"""," ""佐々木　大輔", 井上　恒, 高尾　英邦[Daisuke SASAKI, Inoue Koh," Takao Hidekuni]""",,,
"671, ""081513"," ""大学入門ゼミ T(13)"""," ""井上　恒", 佐々木　大輔, 高尾　英邦[Inoue Koh, Daisuke SASAKI," Takao Hidekuni]""",,,
"672, ""081514"," ""大学入門ゼミ T(14)"""," ""小柴　俊", 須崎　嘉文, 舟橋  正浩[Koshiba Shun, Suzaki Yoshifumi," Funahashi Masahiro]""",,,
"673, ""081515"," ""大学入門ゼミ T(15)"""," ""須崎　嘉文", 小柴　俊, 舟橋  正浩[Suzaki Yoshifumi, Koshiba Shun," Funahashi Masahiro]""",,,
"674, ""081516"," ""大学入門ゼミ T(16)"""," ""舟橋  正浩", 須崎　嘉文, 小柴　俊[Funahashi Masahiro, Suzaki Yoshifumi," Koshiba Shun]""",,,
"675, ""081601"," ""大学入門ゼミ A(1)"""," ""木村　義雄[Kimura Yoshio]"""," ""前期"""," ""水4"""," ""1～""", ,,,
